@dataset{2011yCat..90370034T,
       author = {{Taranova}, O.~G. and {Shenavrin}, V.~I.},
        title = "{VizieR Online Data Catalog: JHKLM light curves of WR 140 (Taranova+, 2011)}",
 howpublished = {VizieR On-line Data Catalog: J/PAZh/37/34. Originally published in: 2011PAZh...37...34T; 2011AstL...37...30T},
         year = 2011,
        month = jan,
          eid = {J/PAZh/37/34},
       adsurl = {https://ui.adsabs.harvard.edu/abs/2011yCat..90370034T},
      adsnote = {Provided by the SAO/NASA Astrophysics Data System}
}



#Phase	mag
0.013 5.38
0.022 5.46
0.023 5.44
0.023 5.44
0.030 5.54
0.032 5.54
0.043 5.63
0.044 5.60
0.051 5.68
0.059 5.59
0.063 5.63
0.065 5.62
0.072 5.62
0.084 5.66
0.091 5.64
0.095 5.64
0.136 5.67
0.164 5.67
0.177 5.68
0.187 5.64
0.195 5.69
0.197 5.68
0.204 5.68
0.214 5.70
0.233 5.66
0.266 5.70
0.274 5.70
0.286 5.68
0.295 5.71
0.306 5.67
0.318 5.68
0.326 5.73
0.350 5.68
0.365 5.71
0.408 5.72
0.431 5.67
0.439 5.68
0.470 5.72
0.487 5.71
0.553 5.73
0.560 5.67
0.570 5.68
0.600 5.70
0.665 5.69
0.692 5.69
0.696 5.69
0.705 5.70
0.712 5.75
0.807 5.70
0.814 5.70
0.825 5.71
0.837 5.67
0.856 5.67
0.867 5.66
0.908 5.66
0.918 5.68
0.936 5.67
0.939 5.69
0.946 5.67
0.950 5.71
0.968 5.69
0.972 5.67
0.978 5.72
0.986 5.67
0.991 5.62
1.000 5.58
1.003 5.61
1.018 5.37
1.030 5.49
1.044 5.60
1.050 5.60
1.059 5.63
1.061 5.61
1.070 5.64
1.073 5.63
1.092 5.64
1.093 5.69
1.103 5.66
1.147 5.66

0.013 4.46
0.022 4.50
0.023 4.50
0.023 4.53
0.030 4.71
0.032 4.71
0.043 4.88
0.044 4.89
0.051 4.98
0.059 4.99
0.063 5.03
0.065 5.05
0.072 5.09
0.084 5.14
0.091 5.15
0.095 5.17
0.136 5.29
0.164 5.26
0.177 5.28
0.187 5.26
0.195 5.28
0.197 5.29
0.204 5.30
0.214 5.30
0.233 5.28
0.266 5.35
0.274 5.32
0.286 5.35
0.295 5.35
0.306 5.35
0.318 5.34
0.326 5.39
0.350 5.36
0.365 5.40
0.408 5.38
0.431 5.37
0.439 5.37
0.470 5.38
0.487 5.35
0.553 5.37
0.560 5.38
0.570 5.36
0.600 5.37
0.665 5.38
0.692 5.35
0.696 5.38
0.705 5.40
0.712 5.43
0.807 5.36
0.814 5.38
0.825 5.36
0.837 5.37
0.856 5.36
0.867 5.32
0.908 5.37
0.918 5.36
0.936 5.38
0.939 5.37
0.946 5.34
0.950 5.39
0.968 5.37
0.972 5.37
0.978 5.38
0.986 5.37
0.991 5.34
1.000 5.28
1.003 5.14
1.018 4.38
1.030 4.69
1.044 4.90
1.050 5.00
1.059 5.08
1.061 5.05
1.070 5.13
1.073 5.16
1.092 5.17
1.093 5.20
1.103 5.19
1.147 5.22

0.013 3.56
0.022 3.47
0.023 3.49
0.023 3.53
0.030 3.67
0.032 3.71
0.043 3.95
0.044 3.95
0.051 4.01
0.059 4.15
0.063 4.14
0.065 4.18
0.072 4.26
0.084 4.40
0.091 4.46
0.095 4.46
0.136 4.63
0.164 4.68
0.177 4.72
0.187 4.75
0.195 4.78
0.197 4.77
0.204 4.82
0.214 4.84
0.233 4.92
0.266 4.98
0.274 4.97
0.286 4.97
0.295 4.97
0.306 4.99
0.318 5.01
0.326 5.03
0.350 5.03
0.365 5.05
0.408 5.05
0.431 5.04
0.439 5.03
0.470 5.05
0.487 5.02
0.553 5.09
0.560 5.05
0.570 5.06
0.590 5.08
0.600 5.05
0.665 5.05
0.682 5.07
0.692 5.07
0.696 5.06
0.705 5.09
0.712 5.06
0.807 5.07
0.814 5.05
0.825 5.08
0.827 5.08
0.837 5.07
0.856 5.09
0.867 5.04
0.908 5.05
0.918 5.06
0.936 5.05
0.939 5.05
0.946 5.05
0.950 5.08
0.968 5.06
0.972 5.06
0.978 5.07
0.986 5.05
0.991 5.06
1.000 4.97
1.003 4.70
1.018 3.39
1.030 3.72
1.044 4.02
1.050 4.11
1.059 4.20
1.061 4.24
1.070 4.34
1.073 4.35
1.092 4.51
1.093 4.52
1.103 4.52
1.147 4.61

0.013 2.58
0.022 2.30
0.023 2.30
0.023 2.35
0.030 2.38
0.032 2.45
0.043 2.61
0.044 2.60
0.051 2.66
0.059 2.73
0.063 2.74
0.065 2.77
0.072 2.86
0.084 3.05
0.091 3.08
0.095 3.09
0.136 3.31
0.164 3.45
0.177 3.53
0.187 3.60
0.195 3.67
0.197 3.68
0.204 3.74
0.214 3.82
0.233 3.98
0.266 4.22
0.274 4.30
0.286 4.32
0.295 4.35
0.306 4.40
0.318 4.43
0.326 4.48
0.350 4.55
0.365 4.58
0.408 4.66
0.431 4.68
0.439 4.69
0.470 4.79
0.487 4.76
0.553 4.81
0.560 4.77
0.570 4.82
0.590 4.84
0.600 4.83
0.665 4.83
0.692 4.85
0.696 4.84
0.705 4.92
0.712 4.91
0.807 4.85
0.814 4.87
0.825 4.86
0.837 4.85
0.856 4.91
0.867 4.87
0.908 4.87
0.918 4.91
0.936 4.88
0.939 4.86
0.946 4.88
0.950 4.90
0.968 4.87
0.972 4.85
0.978 4.90
0.986 4.87
0.991 4.88
1.000 4.70
1.018 2.30
1.030 2.48
1.044 2.74
1.050 2.79
1.059 2.84
1.061 2.87
1.070 2.94
1.073 2.98
1.092 3.18
1.093 3.20
1.103 3.18
1.147 3.28

0.013 2.45
0.022 2.15
0.023 2.10
0.023 2.09
0.030 2.08
0.032 2.17
0.043 2.24
0.051 2.30
0.059 2.40
0.063 2.37
0.065 2.44
0.072 2.57
0.084 2.70
0.091 2.66
0.095 2.63
0.136 2.78
0.164 2.97
0.177 2.98
0.187 3.12
0.195 3.15
0.197 3.11
0.204 3.20
0.214 3.36
0.233 3.46
0.266 3.68
0.274 3.75
0.286 3.79
0.295 3.87
0.306 3.96
0.318 3.94
0.326 4.05
0.350 4.15
0.365 4.16
0.408 4.20
0.431 4.35
0.439 4.31
0.470 4.39
0.487 4.44
0.553 4.48
0.560 4.42
0.570 4.57
0.600 4.48
0.665 4.58
0.692 4.51
0.696 4.52
0.705 4.67
0.712 4.57
0.825 4.62
0.837 4.54
0.867 4.64
0.939 4.48
0.972 4.63
0.991 4.56
1.000 4.44
1.003 4.06
1.018 2.10
1.030 2.20
1.044 2.39
1.050 2.41
1.059 2.52
1.061 2.52
1.070 2.53
1.073 2.55
1.092 2.71
1.093 2.80
1.103 2.72
1.147 2.72
