1978.63 7.52 4.97 3.00 0.77 -.02                     1   DDWS 2443740 12", [3.6] L
1978.96                0.56 0.02 -1.0           -1.4 1   DDWS 2443858 N, Bolo 18"
1979.05 7.13 4.66 2.67 0.54 -.29                     1   DDWS 2443894 12"          
1979.22 6.74 4.18 2.16 0.03 -.75                     1   DDWS 2443955 eM 0.1
1979.29 6.28 4.27 2.16 0.02 -.70                     1
1979.34 6.81 4.30 2.17 -.02 -.80                     1
1979.45 7.06 4.40 2.18 -.12 -.90                     1    DDWS 2444040
1979.52                -.15 -.87 -2.0           -1.6 1    DDWS Bolo N, 2444062
1979.60 7.10 4.48 2.27 -.05 -.97                     1
1979.68 7.07 4.42 2.28 -.01                          1    DDWS no M
1979.93 7.13 4.51 2.28 0.06 -.81                     1    DDWS 2444215
1980.03 6.97 4.39      0.01                          1    DDWS no K, M
1980.06 6.97 4.37 2.27 0.01                          1    DDWS no M 
1982.50                0.08 -.67 -1.6 -1.4 -1.9 -1.7 2   telex 84Jun28
1982.58 7.73 5.06 3.07 0.04 -.53                     2    DDWS Postscript: 3.6m,7.5" [3.8] L
1983.21 7.78 5.19 3.05 0.65                          4    SAAO, L 36", 3.5 micron
1983.23 7.80 5.21 3.01 0.29 -.42                     2    ESO March 24 Rev 84Jun26
1983.23 7.88 5.25 3.10 0.41 -.37                     2    ESO March 25 Rev 84Jun26
1983.25                0.29 -.46 -1.4 -1.3 -1.6 -1.5 2  
1984.38 8.27 5.61 3.39 0.52 -.31                     2    ESO K+P
1985.35                0.86 -.03 -1.3 -1.1 -1.7      2    ESO K+P Q -2.1 but no blocking filter
1985.58 8.46 5.94 3.71 0.80 0.04                     2    ESO PST
1985.66 8.61 5.94 3.73 1.00 -.11                     3    AAT 
1986.45 8.88 6.17 4.00 1.11                          3    AAT
1986.55 8.57 6.23 4.07 1.13 0.27                     2    ESO PST
1986.80 8.98 6.28 4.07 1.18                          3    AAT
1987.10 8.68 6.40 4.22 1.18 0.32                     2    ESO PST Feb 2/3
1987.10 8.67 6.38 4.12 1.17 0.25                     2    ESO PST Feb 4/5
1987.25 8.76 6.40 4.26 1.31                          3    AAT 5", per DAA
1988.26 8.72 6.46 4.34 1.38 0.60                     2    ESO R.de Jong April 6 & 7
1988.27 8.70 6.46 4.34 1.41 0.62                     2    ESO R.de Jong April 8 & 9 
1988.97 8.92 6.69 4.57 1.54 0.68 -0.9 -0.5 -1.4 -1.4 2    ESO 2night JHKLM, also
1989.04 9.17 6.78 4.56 1.59 0.67                     2    ESO (Jan 13 Bouchet)
1989.04 8.94 6.75 4.55 1.56 0.66                     2    ESO (Jan 15 Bouchet)
1989.04 8.93 6.70 4.56 1.58 0.69                     2    ESO (Jan 17 Bouchet)
1989.05 8.38 6.50 4.50 1.98                          4    SAAO
1989.07 8.34 6.49 4.50 1.98                          4
1989.07 8.85 6.73 4.55 1.55 0.70                     2    ESO 1m Jan 25; ESO 15sec
1989.14 8.87 6.71 4.60 1.58 0.74                     2    ESO 1m (Feb 16, Bouchet)
1989.22 8.34 6.55 4.57 2.00                          4    SAAO PAW March 21
1989.24 8.97 6.77 4.70 1.71                          3    AAT 1989 Mar 28, 6" aperture
1989.29 8.42 6.64 4.63 2.11                          4    SAAO GR April 17
1989.39 8.39 6.59 4.62 2.08                          4    SAAO FM May 22
1989.39 8.73 6.67 4.63 1.69 0.91                     2    ESO 1m May 23, 15". F. Spaan
1989.39 8.86 6.80 4.70 1.66 0.73                     2    ESO 1m May 24, 15". F. Spaan
1989.40 8.86 6.82 4.73 1.71 0.78                     2    ESO 1m May 25, 15". F. Spaan
1989.58 8.42 6.65 4.67 2.17                          4    SAAO GR 
1990.05 8.89 6.83 4.80 1.79 0.89                     2    ESO 1m (Jan 19, Bouchet)
1990.20 8.90 6.88 4.85 1.86 0.95                     2    ESO 1m (March 15, 16) 15" 7966,67
1990.21 8.90 6.87 4.84 1.83 0.95                     2    ESO 1m (March 17, 18 19) 15"
1990.27 8.89 6.88 4.87 1.85 0.95 -0.8 -0.6 -1.2 -1.2 2    ESO 2.2m April 3nights each wl
1990.37 8.36 6.66 4.77 2.24                          4    SAAO BSC May 16
1990.59 8.31 6.46 4.61 2.30                          4    2448108 saao per PAW
1991.08 8.40 6.69 4.78 2.29                          4    2448285
1991.09 8.42 6.70 4.78 2.31                          4
1991.16 8.90 6.90 4.89 1.92 1.02                     2    ESO 1m (Feb 28 - Mar 2, deWinter)
1991.19 8.41 6.73 4.82 2.34                          4
1991.25 8.91 6.93 4.93 1.96 1.09 -0.6 -0.3 -1.1 -1.1 2    ESO 3.6m 7.5 aper
1991.25 8.95 6.97 4.96 1.97 1.06                     2    ESO 1m (Apr 1-3)
1991.29 8.43 6.76 4.87 2.35                          4    saao per PAW
1991.33 8.38 6.73 4.85 2.41                          4
1991.35 8.41 6.76 4.87 2.35                          4
1991.47 8.42 6.74 4.88 2.42                          4
1991.49 8.41 6.74 4.89 2.41                          4
1991.53 8.40 6.73 4.86 2.39                          4
1991.55 8.41 6.71 4.85 2.39                          4
1991.56 8.40 6.72 4.85 2.38                          4
1991.67 8.33 6.62 4.78 2.37                          4
1992.04 8.91 6.92 4.95 2.03 1.16                     2    ESO Jan 16 PB
1992.21 8.96 7.02 5.04 2.08 1.14                     2    ESO Mar 16 PB
1992.22 8.47 6.80 4.96 2.48                          4    saao 24 aperture per paw
1992.31 8.54 6.83 4.98 2.51                          4
1992.35 8.98 7.07 5.10 2.11 1.21                     2    ESO May 6 (KAH & DYA)
1992.36 8.96 7.06 5.10 2.12 1.20                     2    ESO mean of May 9+10 (KAH & DYA)
1992.38 8.44 6.83 5.00 2.51                          4    saao 24
1992.44 8.40 6.82 5.00 2.52                          4
1992.47 8.46 6.85 5.01 2.54                          4
1992.48 9.16 7.14 5.13 2.13 1.20                     2    ESO Patrice June 25
1992.53 8.45 6.86 5.03 2.56                          4
1992.63 8.51 6.90 5.07 2.63                          4
1993.04 8.48 6.94 5.11 2.60                          4
1993.17 9.01 7.15 5.24 2.26 1.35                     2    2.2m March 3
1993.18 8.98 7.14 5.24 2.26 1.35                     2    ESO Diah Mar 5
1993.32 8.52 6.91 5.14 2.68                          4    SAAO Patricia e-mail 18-FEB-94
1993.43 8.42 6.87 5.12 2.69                          4
1993.53 8.95 7.10 5.21 2.31 1.38                     2    ESO Patrice July 11-15
1993.64 8.44 6.90 5.14 2.75                          4    SAAO Patricia e-mail 18-FEB-94
1994.08 8.56 6.97 5.23 2.79                          4
1994.14 8.46 6.86 5.14 2.77                          4    SAAO Yvonne Thomas 22/8/94
1994.41 8.35 6.62 4.91 2.68                          4
1994.45 8.28 6.55 4.85 2.67                          4 
1994.63 8.32 6.58 4.84 2.62                          4   Aug 18
1994.65 8.34 6.59 4.84 2.59                          4   Aug 25 BSC rev Veronique
