Wavelength,H_blocker,K,L,M
1.28205,0.00234087,0.00122118,0.0026412,0.00151181
1.28238,0.000910738,0.00240421,0.00120044,0.00118113
1.28271,0.00463859,0.000718832,0.00218153,0.00111008
1.28304,0.00165644,0.000534773,0.00158262,0.00166035
1.28337,0.000744343,0.00298834,0.00184107,0.00168514
1.2837,0.00176353,0.00365138,0.00573635,0.00289726
1.28403,0.00157408,0.000364065,0.00105524,0.00110364
1.28436,0.00269517,0.00315928,0.00263309,0.00162029
1.28469,0.00207687,0.000306368,0.0023489,0.000843525
1.28502,0.00221945,0.000950813,0.0016799,0.00200629
1.28535,0.000968909,0.00172782,0.00214267,0.00297284
1.28568,0.00231298,0.00226927,0.00173593,0.00170684
1.28601,0.00165391,0.00402832,0.000834942,0.00147581
1.28634,0.00134239,0.000624895,0.00176883,0.00196123
1.28667,0.00190306,0.00175214,0.0018878,0.000638723
1.287,0.000556288,0.00206971,0.000249147,0.00150514
1.28733,0.00161725,0.00150275,0.00186205,0.00209236
1.28766,0.00134581,0.00118089,0.00292826,0.00222516
1.288,0.000526048,0.000977993,0.00139618,0.00161767
1.28833,0.00114792,0.00135612,0.00278139,0.00124764
1.28866,0.00121865,0.000463724,0.00450325,0.0024085
1.28899,0.00254441,1.05E-05,0.00185823,0.00232768
1.28932,0.00094112,0.00353527,0.00215149,0.00100851
1.28966,0.00104051,0.0022614,0.00069356,0.00218701
1.28999,0.000476855,0.00174379,0.0011735,0.00150061
1.29032,0.00388257,0.00133181,0.00085783,0.00156307
1.29066,0.00227004,0.00172353,0.00116181,0.00136185
1.29099,0.0021878,0.00250006,0.00213671,0.000469446
1.29132,0.00216168,0.00370574,0.000983954,0.00498748
1.29166,0.00157918,0.00397134,0.00178933,0.00270772
1.29199,0.00264166,0.00190687,0.0030489,0.00130796
1.29232,0.00093453,0.00208855,0.00177765,0.00237656
1.29266,0.00101104,0.000620127,0.00167584,0.00136161
1.29299,0.00144135,0.00314283,0.00120211,0.00124025
1.29333,0.00237398,0.00135088,0.000862598,0.0019815
1.29366,0.000994884,0.00299692,0.00144649,0.00145602
1.294,0.00295587,0.00153542,0.0016613,0.00273395
1.29433,0.00248873,0.00272465,0.000434875,0.00223208
1.29467,3.92E-05,0.00104237,0.00276327,0.00251722
1.295,0.00152664,0.00229597,0.00134754,0.00240088
1.29534,0.00298744,0.00191689,0.00103951,0.0037868
1.29567,0.00312576,0.00163221,0.00241375,0.00198436
1.29601,0.00177297,0.00215006,0.00157523,0.000967979
1.29634,0.0018067,0.00168133,0.00386667,0.00410342
1.29668,0.00245923,0.0014379,0.00228429,0.00367212
1.29702,0.00164396,0.00142622,0.00166726,0.000717163
1.29735,0.00145353,0.00160551,0.00249529,0.00202036
1.29769,0.00260484,0.000989675,0.00311995,0.00312924
1.29803,0.00202521,0.00340152,0.0016973,0.000913858
1.29836,0.0043335,0.00164175,0.000873804,0.00124979
1.2987,0.00251511,0.00209498,0.0023284,0.00157428
1.29904,0.00044426,0.00189281,0.000443935,0.00357986
1.29938,0.00162095,0.000749826,0.000643015,0.000822782
1.29971,0.000990733,0.00145793,0.00185275,0.00271296
1.30005,0.00379229,0.00061655,0.00215173,0.00170612
1.30039,0.00189415,0.00438356,0.00180817,0.00339031
1.30073,0.00295005,0.00218964,5.60E-05,0.00122833
1.30107,0.000924003,0.00131226,0.00198579,0.00197625
1.30141,0.0021453,0.00212407,0.000841141,0.00110292
1.30174,0.00142178,0.00150824,0.00106883,0.000315905
1.30208,0.000959841,0.00183272,0.000904799,0.0014739
1.30242,0.0011584,0.00315165,0.00181603,0.00174189
1.30276,0.00187115,0.00173402,0.000876904,0.00133848
1.3031,0.0037714,0.000497103,0.00124431,0.00101209
1.30344,0.00146654,0.00207829,0.000555992,0.00162196
1.30378,0.00196427,0.00273681,0.00184631,0.00213385
1.30412,0.00181511,0.00143599,0.00202537,0.0020628
1.30446,0.00121881,0.00282359,0.0011375,0.000838995
1.3048,0.00126358,0.00203633,0.00108647,0.00237775
1.30514,0.0015328,0.0036633,0.00162792,0.00200939
1.30548,0.00236251,0.0023365,0.00156856,0.00010252
1.30582,0.00132421,0.00367546,0.00226808,0.000681162
1.30617,0.000254623,0.00330257,0.00242186,0.00129914
1.30651,0.00115993,0.00102663,0.00204062,0.000705004
1.30685,0.0017162,0.000813484,0.000815153,0.0017693
1.30719,0.00354129,0.000172615,0.00145602,0.000973702
1.30753,0.00152144,0.0019269,0.00153494,0.00190711
1.30787,0.000252124,0.0018568,0.001827,0.00210381
1.30822,0.00194866,0.00154972,0.00290537,0.00205565
1.30856,0.000524226,0.00325251,0.00285316,0.00168633
1.3089,0.00265429,0.00156116,0.00118899,0.00194836
1.30924,0.0024848,0.00359702,0.00189543,0.00217152
1.30959,0.00346009,0.00402403,0.00201464,0.00234604
1.30993,0.00287949,0.00346613,0.000858069,0.00167084
1.31027,0.00213672,0.0026989,0.00217819,0.00281358
1.31062,0.00096316,0.00331521,0.00238395,0.00154042
1.31096,0.0013013,0.00238133,0.00234961,0.001652
1.3113,0.0013885,0.00150299,0.00223732,0.00248575
1.31165,0.00215843,0.00211811,-8.30E-05,0.00240803
1.31199,0.00159822,0.00135231,0.000664234,0.00053525
1.31234,0.00108316,0.00147033,0.000643969,0.0010488
